generation,reward,actor_loss,critic_loss,entropy_loss,diversity,loss,learning_rate,actions
0,-21.0,0.7050496,0.28782752,0,"[[0.06401    0.5308512  0.01342274 0.18257497 0.02034037 0.18880072]
 [0.16733134 0.17098036 0.16020785 0.16744272 0.16140094 0.1726367 ]
 [0.16733134 0.17098036 0.16020785 0.16744272 0.16140094 0.1726367 ]
 [0.16733073 0.17090568 0.16025849 0.16745079 0.16143546 0.17261882]
 [0.16733073 0.17090568 0.16025849 0.16745079 0.16143546 0.17261882]]",685.3649,4.9975e-05,"[[7.8935976 ]
 [0.1369243 ]
 [0.1369243 ]
 [0.13438626]]"
5,-20.0,0.38227546,0.18573114,0,"[[0.15944237 0.282849   0.04145569 0.1613284  0.02871095 0.32621363]
 [0.16765359 0.1660154  0.16507271 0.16533908 0.16452846 0.17139077]
 [0.16765887 0.16602004 0.16506726 0.16533983 0.16451141 0.17140266]
 [0.16765887 0.16602004 0.16506726 0.16533983 0.16451141 0.17140266]
 [0.1676586  0.16602038 0.16506729 0.16534096 0.16451074 0.17140204]]",545.29663,4.985019e-05,"[[ 0.5853857 ]
 [-0.00305666]
 [-0.00305753]
 [-0.00305753]]"
10,-18.0,0.5011684,0.24138135,0,"[[0.25998282 0.24420352 0.04251324 0.18433344 0.02555942 0.24340752]
 [0.1683508  0.16599278 0.16473328 0.1649267  0.16432454 0.17167185]
 [0.16834988 0.16599198 0.16473408 0.1649283  0.16432497 0.17167082]
 [0.16835257 0.16599359 0.16472943 0.16492884 0.16431879 0.17167677]
 [0.16835421 0.16599523 0.1647269  0.16493016 0.16431838 0.1716752 ]]",550.0783,4.972569e-05,"[[ 0.35554555]
 [-0.00764617]
 [-0.00764637]
 [-0.00764639]]"
15,-21.0,0.65261495,0.20933098,0,"[[0.25318065 0.379167   0.03549659 0.1834779  0.01687711 0.13180074]
 [0.16885327 0.16542591 0.16316369 0.16366197 0.16390216 0.174993  ]
 [0.1688511  0.1654252  0.16316488 0.16366047 0.16390339 0.174995  ]
 [0.16884916 0.16542117 0.16316848 0.16365807 0.16391055 0.17499258]
 [0.1688508  0.1654244  0.16316587 0.16366048 0.16390452 0.17499392]]",557.91437,4.960151e-05,"[[ 0.32609972]
 [-0.01659426]
 [-0.01659336]
 [-0.01659356]]"
20,-21.0,0.64473665,0.17924333,0,"[[0.2907557  0.43550324 0.02660328 0.14177842 0.00964233 0.09571697]
 [0.17106216 0.16662252 0.16089353 0.16231968 0.16207889 0.17702319]
 [0.17105672 0.16662169 0.16089392 0.16231866 0.16208287 0.17702618]
 [0.17105338 0.1666137  0.16089973 0.16231637 0.16209313 0.17702371]
 [0.17105095 0.16661456 0.16089489 0.16232806 0.16209167 0.17701986]]",577.83417,4.9477632e-05,"[[ 0.40709183]
 [-0.04013002]
 [-0.0401219 ]
 [-0.04012705]]"
25,-20.0,0.7485539,0.1648997,0,"[[0.14783469 0.76346105 0.00289587 0.03273464 0.00078418 0.05228955]
 [0.18169285 0.17616674 0.15007079 0.1541574  0.14972563 0.1881866 ]
 [0.18172003 0.17620896 0.15004139 0.15415044 0.14967854 0.1882006 ]
 [0.18172003 0.17620896 0.15004139 0.15415044 0.14967854 0.1882006 ]
 [0.18168674 0.17616042 0.15006943 0.15416706 0.14973022 0.18818614]]",491.30267,4.9354065e-05,"[[ 0.77436167]
 [-0.1381745 ]
 [-0.13821922]
 [-0.13821922]]"
30,-21.0,0.6559268,0.006888412,0,"[[5.86411580e-02 9.37249720e-01 7.42130737e-07 1.24027647e-04
  6.82408370e-08 3.98434419e-03]
 [2.54204929e-01 2.21269280e-01 1.12556860e-01 1.23207740e-01
  9.87372622e-02 1.90023929e-01]
 [2.54296333e-01 2.21367478e-01 1.12480722e-01 1.23165280e-01
  9.86454934e-02 1.90044656e-01]
 [2.54232347e-01 2.21339151e-01 1.12525195e-01 1.23184703e-01
  9.86897573e-02 1.90028816e-01]
 [2.54384130e-01 2.21528813e-01 1.12389155e-01 1.23147272e-01
  9.85198691e-02 1.90030798e-01]]",443.4801,4.923081e-05,"[[-0.85398346]
 [-0.60836184]
 [-0.6087647 ]
 [-0.60711855]]"
35,-21.0,0.70564324,0.03928754,0,"[[9.9720949e-01 2.0226913e-03 2.6179201e-04 1.3007457e-05 4.7652409e-07
  4.9250963e-04]
 [3.2453966e-01 1.6904174e-01 1.6082916e-01 9.5140569e-02 8.6502112e-02
  1.6394670e-01]
 [3.2403177e-01 1.6905551e-01 1.6092262e-01 9.5275030e-02 8.6686783e-02
  1.6402829e-01]
 [3.2519782e-01 1.6902141e-01 1.6071145e-01 9.4987005e-02 8.6246647e-02
  1.6383560e-01]
 [3.2498744e-01 1.6902415e-01 1.6075166e-01 9.5042489e-02 8.6332671e-02
  1.6386166e-01]]",413.16223,4.9107857e-05,"[[-0.21954077]
 [-0.54172933]
 [-0.5416862 ]
 [-0.5413957 ]]"
40,-20.0,0.676111,0.0133975465,0,"[[9.99978185e-01 1.22557203e-05 5.27745260e-06 4.15833199e-07
  1.65436447e-08 3.84178702e-06]
 [4.56021309e-01 1.29681721e-01 1.44782037e-01 8.30916837e-02
  7.08160475e-02 1.15607254e-01]
 [4.55145717e-01 1.29824653e-01 1.44976512e-01 8.32620859e-02
  7.10163042e-02 1.15774661e-01]
 [4.55584109e-01 1.29746243e-01 1.44886076e-01 8.31796527e-02
  7.09145963e-02 1.15689322e-01]
 [4.55490142e-01 1.29767910e-01 1.44901305e-01 8.31971914e-02
  7.09351823e-02 1.15708224e-01]]",432.3113,4.8985217e-05,"[[-0.49709848]
 [-0.67003024]
 [-0.66958857]
 [-0.66964245]]"
45,-19.0,0.5656974,0.10489339,0,"[[9.9338210e-01 1.2728592e-03 4.6556810e-04 1.1516379e-04 1.7436916e-05
  4.7468753e-03]
 [3.7355921e-01 1.4299953e-01 1.4378308e-01 9.2839614e-02 8.2733728e-02
  1.6408487e-01]
 [3.7355921e-01 1.4299953e-01 1.4378308e-01 9.2839614e-02 8.2733728e-02
  1.6408487e-01]
 [3.7355921e-01 1.4299953e-01 1.4378308e-01 9.2839614e-02 8.2733728e-02
  1.6408487e-01]
 [3.7375963e-01 1.4296752e-01 1.4373016e-01 9.2792526e-02 8.2676433e-02
  1.6407378e-01]]",434.23853,4.886288e-05,"[[ 0.10859676]
 [-0.59906596]
 [-0.59906596]
 [-0.59906596]]"
50,-21.0,0.68386406,0.010555337,0,"[[9.99911785e-01 3.25795810e-07 1.56262630e-07 1.89548750e-08
  2.54862775e-09 8.76686536e-05]
 [5.28673410e-01 9.47334245e-02 1.00789197e-01 6.00358993e-02
  5.37863150e-02 1.61981747e-01]
 [5.29396474e-01 9.45725217e-02 1.00598648e-01 5.98995239e-02
  5.36424741e-02 1.61890358e-01]
 [5.29260933e-01 9.46061835e-02 1.00620955e-01 5.99256903e-02
  5.36644347e-02 1.61921829e-01]
 [5.30589640e-01 9.42915231e-02 1.00280859e-01 5.96724078e-02
  5.33932000e-02 1.61772385e-01]]",427.503,4.874085e-05,"[[-0.455049  ]
 [-0.65852123]
 [-0.658706  ]
 [-0.65777373]]"
